id,nl,fopl_input,fopl_output,status,timestamp
27,"Some bicycles are lightweight, durable, and suitable for off-road use.",∃x (Bicycle(x) ∧ Lightweight(x) ∧ Durable(x) ∧ OffRoadSuitable(x)),∃x (Bicycle(x) ∧ Lightweight(x) ∧ Durable(x) ∨ OffRoadSuitable(x)),success,2026-03-26T04:48:35.324958+00:00
28,A bird flies if it has wings.,∀x (Bird(x) ∧ HasWings(x) → Flies(x)),∀x (Bird(x) → (HasWings(x) → Flies(x))),success,2026-03-26T04:48:36.030251+00:00
29,"A garment that is worn on the lower part of the body, has separate openings for each leg, and is made of fabric is a pair of pants or a skirt.",∀x (Garment(x) ∧ WornOnLowerPartOfBody(x) ∧ SeparateOpeningsForEachLeg(x) ∧ MadeOfFabric(x) → (Pants(x) ∨ Skirt(x))),∀x1 (Garment(x1) ∧ WornOnLowerPartOfBody(x1) ∧ SeparateOpeningsForEachLeg(x1) ∧ MadeOfFabric(x1) → (Pants(x1) ∨ Skirt(x1))),success,2026-03-26T04:48:36.872991+00:00
30,A polygon with three sides and three angles is a triangle.,"∀x (Polygon(x) ∧ Sides(x, 3) ∧ Angles(x, 3) → Triangle(x))","∀x1 (Polygon(x1) ∧ Sides(x1, 3) ∧ Angles(x1, 3) → Triangle(x1))",success,2026-03-26T04:48:37.580020+00:00
31,A sport that is played between two teams on a field with a ball and the objective is to score points by getting the ball into the opposing team's goal is a goal-based sport.,∀x (Sport(x) ∧ PlayedBetweenTwoTeams(x) ∧ PlayedOnField(x) ∧ PlayedWithBall(x) ∧ ObjectiveToScorePointsByGettingBallIntoOpposingTeamsGoal(x) → GoalBasedSport(x)),¬∃x ¬(Sport(x) ∧ PlayedBetweenTwoTeams(x) ∧ PlayedOnField(x) ∧ PlayedWithBall(x) ∧ ObjectiveToScorePointsByGettingBallIntoOpposingTeamsGoal(x) → GoalBasedSport(x)),success,2026-03-26T04:48:38.397885+00:00
32,An orchestra performs a concert with musicians playing various instruments.,"∀x ∀y ∀z (Orchestra(x) ∧ Concert(y) ∧ Instrument(z) → (Performs(x, y) ∧ ∃w (Musician(w) ∧ Plays(w, z))))","∀x ∀y ∀z (Orchestra(x) ∧ Concert(y) ∧ Instrument(z) → (Performs(x, y) ∧ ∃x1 (Musician(x1) ∧ Plays(x1, z))))",success,2026-03-26T04:48:39.231336+00:00
33,A detective solves crimes by gathering evidence and analyzing clues.,"∀x (Detective(x) → (∃y (Crime(y) ∧ Solves(x, y) ∧ GathersEvidence(x) ∧ AnalyzesClues(x))))","∀x (Detective(x) → (∃y (Crime(y) ∧ Solves(x, y) ∧ GathersEvidence(x) ∨ AnalyzesClues(x))))",success,2026-03-26T04:48:40.048779+00:00
34,Some paintings are abstract and created by famous artists.,∃x (Painting(x) ∧ Abstract(x) ∧ CreatedByFamousArtist(x)),∃x1 (Painting(x1) ∧ Abstract(x1) ∧ CreatedByFamousArtist(x1)),success,2026-03-26T04:48:40.700607+00:00
35,"An instrument is either a string instrument or a wind instrument, but not both.",∀x (Instrument(x) → ((StringInstrument(x) ∨ WindInstrument(x)) ∧ ¬(StringInstrument(x) ∧ WindInstrument(x)))),∀x (Instrument(x) → ((StringInstrument(x) ∨ WindInstrument(x)) ∧ ¬StringInstrument(x) ∧ WindInstrument(x))),success,2026-03-26T04:48:41.473465+00:00
36,Mammals give birth to live young and nurse their offspring with milk produced by the mother.,∀x (Mammal(x) → (GivesBirthToLiveYoung(x) ∧ NursesOffspringWithMilk(x))),∀x1 (Mammal(x1) → (GivesBirthToLiveYoung(x1) ∧ NursesOffspringWithMilk(x1))),success,2026-03-26T04:48:42.802371+00:00
37,"A vaccine that is effective provides immunity, reduces the risk of infection, and often contributes to herd immunity in a population.",∀x (Vaccine(x) ∧ Effective(x) → ProvidesImmunity(x) ∧ ReducesRiskOfInfection(x) ∧ OftenContributesToHerdImmunityInPopulation(x)),∀x (Vaccine(x) ∧ Effective(x) → ProvidesImmunity(x) ∧ ReducesRiskOfInfection(x) ∨ OftenContributesToHerdImmunityInPopulation(x)),success,2026-03-26T04:48:43.527257+00:00
38,"A satellite orbits Earth, transmitting and receiving data, enabling services such as weather forecasting, global positioning, and communication.","∀x ∀y (Satellite(x) ∧ (OrbitsEarth(x) ∧ TransmitsAndReceivesData(x, y)) ∧ (EnablesWeatherForecasting(y) ∨ EnablesGlobalPositioning(y) ∨ EnablesCommunication(y)))","∀x ∀y (Satellite(x) ∧ (OrbitsEarth(x) ∧ TransmitsAndReceivesData(x, y)) ∧ (¬EnablesWeatherForecasting(y) ∨ EnablesGlobalPositioning(y) ∨ EnablesCommunication(y)))",success,2026-03-26T04:48:44.342418+00:00
39,A flower blooms in spring if it requires a specific amount of sunlight and warmth for its growth and development.,∀x (BloomsInSpring(x) ↔ (Flower(x) ∧ RequiresSpecificSunlight(x) ∧ RequiresWarmth(x))),∀x (BloomsInSpring(x) ↔ (Flower(x) ∧ RequiresSpecificSunlight(x) ∨ RequiresWarmth(x))),success,2026-03-26T04:48:45.067479+00:00
40,"A tree loses its leaves in the autumn, while an evergreen tree retains its leaves throughout the year.",∀x (Tree(x) → (LosesLeavesInAutumn(x) ∨ RetainsLeavesThroughoutYear(x))) ∧ ∀y (EvergreenTree(y) → RetainsLeavesThroughoutYear(y)),∀x (Tree(x) → (LosesLeavesInAutumn(x) ∨ RetainsLeavesThroughoutYear(x))) ∧ ∀y (EvergreenTree(y) → RetainsLeavesThroughoutYear(y)),success,2026-03-26T04:48:45.781749+00:00
41,"A smartphone can be used for communication, entertainment, and productivity.",∀x (Smartphone(x) → (UsedForCommunication(x) ∧ UsedForEntertainment(x) ∧ UsedForProductivity(x))),∀x (¬Smartphone(x) ∨ (UsedForCommunication(x) ∧ UsedForEntertainment(x) ∧ UsedForProductivity(x))),success,2026-03-26T04:48:46.482277+00:00
42,"When a bird migrates, it travels long distances, often across continents, and usually follows a seasonal pattern to find resources.",∀x (Bird(x) ∧ Migrates(x) → TravelsLongDistances(x) ∧ OftenCrossesContinents(x) ∧ UsuallyFollowsSeasonalPatternToFindResources(x)),∀x (Bird(x) ∧ Migrates(x) → TravelsLongDistances(x) ∧ OftenCrossesContinents(x) ∧ UsuallyFollowsSeasonalPatternToFindResources(x)),success,2026-03-26T04:48:47.151492+00:00
43,"An electron can be found in either an orbital or a suborbital, but not in both simultaneously.",∀x (Electron(x) ∧ (Orbital(x) ⊕ Suborbital(x))),∀x (Electron(x) ∧ (Orbital(x) ∨ Suborbital(x))),success,2026-03-26T04:48:47.936370+00:00
44,"A coat is appropriate for cold weather if it is made of wool, has a hood, and is insulated.",∀x (Coat(x) ∧ Wool(x) ∧ Hood(x) ∧ Insulated(x) → AppropriateForColdWeather(x)),∀x (Coat(x) ∧ Wool(x) ∧ Hood(x) ∧ Insulated(x) → AppropriateForColdWeather(x)),success,2026-03-26T04:48:48.653825+00:00
45,"A type of music that originated in African American communities, features improvisation, and uses syncopation is called jazz.",∀x (MusicType(x) ∧ OriginatedInAfricanAmericanCommunities(x) ∧ FeaturesImprovisation(x) ∧ UsesSyncopation(x) → Jazz(x)),¬∃x (MusicType(x) ∧ OriginatedInAfricanAmericanCommunities(x) ∧ FeaturesImprovisation(x) ∧ UsesSyncopation(x) ∧ ¬Jazz(x)),success,2026-03-26T04:48:49.368464+00:00
46,A country has a coastline if it is bordered by an ocean or a sea.,∀x (Country(x) ∧ (BorderedByOcean(x) ∨ BorderedBySea(x)) → HasCoastline(x)),¬∃x ¬(Country(x) ∧ (BorderedByOcean(x) ∨ BorderedBySea(x)) → HasCoastline(x)),success,2026-03-26T04:48:50.186184+00:00
47,A prism disperses white light into a spectrum of colors.,"∀x∀y (Prism(x) ∧ WhiteLight(y) → DispersesIntoSpectrumOfColors(x, y))","∀x∃y (Prism(x) ∧ WhiteLight(y) → DispersesIntoSpectrumOfColors(x, y))",success,2026-03-26T04:48:50.895352+00:00
48,A book becomes a bestseller when it has a high sales volume and positive reviews.,∀x (Book(x) ∧ HighSalesVolume(x) ∧ PositiveReviews(x) → Bestseller(x)),∀x (Book(x) ∧ HighSalesVolume(x) ∧ PositiveReviews(x) → Bestseller(x)),success,2026-03-26T04:48:51.618009+00:00
49,"Farmers grow crops, while miners extract minerals.",∀x (Farmer(x) → GrowsCrops(x)) ∧ ∀y (Miner(y) → ExtractsMinerals(y)),∀x (Farmer(x) → GrowsCrops(x)) ∧ ∀y (Miner(y) → ExtractsMinerals(y)),success,2026-03-26T04:48:52.338636+00:00
50,"If an individual participates in community events, they are more likely to have a strong sense of belonging and connection with their community.",∀x (ParticipatesInCommunityEvents(x) → (StrongSenseOfBelonging(x) ∧ ConnectionWithCommunity(x))),∀x (ParticipatesInCommunityEvents(x) → (StrongSenseOfBelonging(x) ∧ ConnectionWithCommunity(x))),success,2026-03-26T04:48:53.040203+00:00
51,"Winter is cold, and summer is hot.",∀x (Winter(x) → Cold(x)) ∧ ∀y (Summer(y) → Hot(y)),∀x (Winter(x) → Cold(x)) ∧ ∀x (Summer(x) → Hot(x)),success,2026-03-26T04:48:53.772383+00:00
52,"A beverage that contains caffeine, is served hot, and is made from roasted seeds is coffee.","∀x∀y (Beverage(x) ∧ ContainsCaffeine(x) ∧ ServedHot(x) ∧ RoastedSeeds(y) ∧ MadeFrom(x, y) → Coffee(x))","∃x∀y (Beverage(x) ∧ ContainsCaffeine(x) ∧ ServedHot(x) ∧ RoastedSeeds(y) ∧ MadeFrom(x, y) → Coffee(x))",success,2026-03-26T04:48:54.474800+00:00
53,A planet with an atmosphere containing oxygen can support human life.,∀x (Planet(x) ∧ AtmosphereContainsOxygen(x) → SupportsHumanLife(x)),∀x (Planet(x) ∧ ¬AtmosphereContainsOxygen(x) → SupportsHumanLife(x)),success,2026-03-26T04:48:55.191983+00:00
54,"A building with proper insulation, energy-efficient windows, and solar panels is considered energy efficient.",∀x (Building(x) ∧ ProperInsulation(x) ∧ EnergyEfficientWindows(x) ∧ SolarPanels(x) → EnergyEfficient(x)),∀x (Building(x) ∧ ProperInsulation(x) ∧ EnergyEfficientWindows(x) ∧ SolarPanels(x) → EnergyEfficient(x)),success,2026-03-26T04:48:55.922258+00:00
55,"A river flows from its source, often in the mountains, through various landscapes until it reaches a larger body of water, such as an ocean or lake.","∀x (River(x) ↔ (∃y (Source(x, y) ∧ Mountains(y)) ∧ FlowsThroughVariousLandscapes(x) ∧ ReachesLargerBodyOfWater(x)))","∀x (River(x) ↔ (∃y (Source(x, y) ∧ Mountains(y)) ∧ FlowsThroughVariousLandscapes(x) ∨ ReachesLargerBodyOfWater(x)))",success,2026-03-26T04:48:56.625427+00:00
56,"A dessert is frozen if it requires refrigeration, is served cold, and isn't a baked good.",∀x (Dessert(x) ∧ Frozen(x) ↔ (RequiresRefrigeration(x) ∧ ServedCold(x) ∧ ¬BakedGood(x))),∀x (Dessert(x) ∧ Frozen(x) ↔ (RequiresRefrigeration(x) ∧ ServedCold(x) ∧ ¬BakedGood(x))),success,2026-03-26T04:48:57.341978+00:00
57,"A clock measures time, and a scale measures weight.","∀x∀y (Clock(x) ∧ Scale(y) → (Measures(x, Time) ∧ Measures(y, Weight)))","∀x∃y (Clock(x) ∧ Scale(y) → (Measures(x, Time) ∧ Measures(y, Weight)))",success,2026-03-26T04:48:58.073742+00:00
58,A company that produces electronics and has a global presence is an international electronics manufacturer.,∀x (Company(x) ∧ ProducesElectronics(x) ∧ GlobalPresence(x) → InternationalElectronicsManufacturer(x)),∀x1 (Company(x1) ∧ ProducesElectronics(x1) ∧ GlobalPresence(x1) → InternationalElectronicsManufacturer(x1)),success,2026-03-26T04:48:58.787381+00:00
59,"A building has either an elevator or stairs, but not both.",∀x (Building(x) → ((HasElevator(x) ⊕ HasStairs(x)))),∀x (¬Building(x) ∨ ((HasElevator(x) ⊕ HasStairs(x)))),success,2026-03-26T04:48:59.502935+00:00
60,"A computer requires an input device, such as a keyboard or a mouse, and an output device, like a monitor or speakers.",∀x (Computer(x) → (∃y (InputDevice(y) ∧ (Keyboard(y) ∨ Mouse(y))) ∧ ∃z (OutputDevice(z) ∧ (Monitor(z) ∨ Speakers(z))))),∀x (Computer(x) → (∃x1 (InputDevice(x1) ∧ (Keyboard(x1) ∨ Mouse(x1))) ∧ ∃x2 (OutputDevice(x2) ∧ (Monitor(x2) ∨ Speakers(x2))))),success,2026-03-26T04:49:00.323668+00:00
61,"Trees absorb carbon dioxide, while cars emit carbon dioxide, and factories release carbon dioxide as a byproduct.",∀x ∀y ∀z (Tree(x) ∧ Car(y) ∧ Factory(z) → (AbsorbsCO2(x) ∧ EmitsCO2(y) ∧ ReleasesCO2Byproduct(z))),∀x ∀y ∀z (¬Tree(x) ∧ Car(y) ∧ Factory(z) → (AbsorbsCO2(x) ∧ EmitsCO2(y) ∧ ReleasesCO2Byproduct(z))),success,2026-03-26T04:49:01.154399+00:00
62,A person who designs and creates video games is called a game developer.,∀x (DesignsAndCreatesVideoGames(x) → GameDeveloper(x)),∀x1 (DesignsAndCreatesVideoGames(x1) → GameDeveloper(x1)),success,2026-03-26T04:49:01.854315+00:00
63,"An apple is red or green, but not both.",∀x (Apple(x) → (Red(x) ⊕ Green(x))),∀x (Apple(x) → (¬Red(x) ∨ Green(x))),success,2026-03-26T04:49:02.564513+00:00
64,"Organisms that can produce their own food through photosynthesis, provide energy for other organisms, and do not consume other organisms are primary producers.",∀x (Organism(x) ∧ CanProduceOwnFoodThroughPhotosynthesis(x) ∧ ProvidesEnergyForOtherOrganisms(x) ∧ ¬ConsumesOtherOrganisms(x) → PrimaryProducer(x)),∀x (Organism(x) ∧ CanProduceOwnFoodThroughPhotosynthesis(x) ∧ ProvidesEnergyForOtherOrganisms(x) ∧ ¬ConsumesOtherOrganisms(x) → PrimaryProducer(x)),success,2026-03-26T04:49:03.289749+00:00
65,A device that converts thermal energy into electrical energy by using a temperature difference is a thermoelectric generator.,"∀x ∀y (Device(x) ∧ ThermalEnergy(y) ∧ UsesTemperatureDifference(x, y) → ThermoelectricGenerator(x))","∀x ∀y (Device(x) ∧ ThermalEnergy(y) ∧ UsesTemperatureDifference(x, y) → ThermoelectricGenerator(x))",success,2026-03-26T04:49:04.012298+00:00
66,"A dessert that is made from milk, sugar, and flavorings and is frozen is ice cream.",∀x (Dessert(x) ∧ MadeFromMilk(x) ∧ Sugar(x) ∧ Flavorings(x) ∧ Frozen(x) → IceCream(x)),∀x (Dessert(x) ∧ MadeFromMilk(x) ∧ Sugar(x) ∧ Flavorings(x) ∧ Frozen(x) → IceCream(x)),success,2026-03-26T04:49:04.729077+00:00
67,Birds migrate when the season changes and the temperature becomes unsuitable for their survival.,"∀x ∀y (Bird(x) ∧ SeasonChange(y) ∧ UnsuitableTemperatureForSurvival(x, y) → Migrates(x))","∃x ∀y (Bird(x) ∧ SeasonChange(y) ∧ UnsuitableTemperatureForSurvival(x, y) → Migrates(x))",success,2026-03-26T04:49:05.446413+00:00
68,A food product is labeled organic if it is produced without synthetic pesticides and meets certain regulatory standards.,∀x (FoodProduct(x) ∧ ProducedWithoutSynthetics(x) ∧ MeetsRegulatoryStandards(x) → LabeledOrganic(x)),∀x (FoodProduct(x) ∧ ProducedWithoutSynthetics(x) ∧ MeetsRegulatoryStandards(x) → LabeledOrganic(x)),success,2026-03-26T04:49:06.160891+00:00
69,"An electronic device that displays the time, receives radio signals for accurate timekeeping, and is powered by a battery is a radio-controlled clock.",∀x (ElectronicDevice(x) ∧ DisplaysTime(x) ∧ ReceivesRadioSignals(x) ∧ BatteryPowered(x) → RadioControlledClock(x)),∀x (ElectronicDevice(x) ∧ DisplaysTime(x) ∧ ReceivesRadioSignals(x) ∧ BatteryPowered(x) → RadioControlledClock(x)),success,2026-03-26T04:49:06.879760+00:00
70,"When a cell phone battery is depleted, it needs to be recharged.",∀x (CellPhone(x) ∧ BatteryDepleted(x) → NeedsRecharge(x)),∀x (CellPhone(x) ∧ BatteryDepleted(x) → NeedsRecharge(x)),success,2026-03-26T04:49:07.482265+00:00
71,"A healthy diet consisting of a variety of fruits, vegetables, whole grains, and lean proteins promotes overall well-being and reduces the risk of chronic diseases.",∀x (HealthyDiet(x) ∧ ContainsVarietyOfFruitsVegetablesWholeGrainsLeanProteins(x) → PromotesWellBeingAndReducesRiskOfChronicDiseases(x)),∀x (HealthyDiet(x) ∧ ContainsVarietyOfFruitsVegetablesWholeGrainsLeanProteins(x) → PromotesWellBeingAndReducesRiskOfChronicDiseases(x)),success,2026-03-26T04:49:08.127002+00:00
72,A fruit is ripe if it is ready to be eaten and has reached its full flavor.,∀x (RipeFruit(x) ↔ (Fruit(x) ∧ ReadyToBeEaten(x) ∧ FullFlavor(x))),∀x (RipeFruit(x) ↔ (Fruit(x) ∧ ReadyToBeEaten(x) ∧ FullFlavor(x))),success,2026-03-26T04:49:08.822467+00:00
73,A book is a bestseller if it has sold over one million copies.,∀x (Book(x) ∧ SoldOverOneMillionCopies(x) → Bestseller(x)),∀x1 (Book(x1) ∧ SoldOverOneMillionCopies(x1) → Bestseller(x1)),success,2026-03-26T04:49:09.541899+00:00
74,"A place is considered a theater if it is a venue for live stage performances, often with a stage, curtains, and audience seating, and hosting plays, musicals, or other productions.",∀x (Place(x) ∧ VenueForLiveStagePerformances(x) ∧ OftenWithStageCurtainsAndAudienceSeating(x) ∧ HostsPlaysMusicalsOrOtherProductions(x) → Theater(x)),∀x (Place(x) ∧ VenueForLiveStagePerformances(x) ∧ OftenWithStageCurtainsAndAudienceSeating(x) ∧ HostsPlaysMusicalsOrOtherProductions(x) → Theater(x)),success,2026-03-26T04:49:10.259295+00:00
