id,generated_fopl,ground_truth_fopl,structural_match,alpha_equivalent,normalized_match,status,timestamp
14,∀x1 (Movie(x1) ∧ HasRomance(x1) ∧ HasComedy(x1) → RomanticComedy(x1)),∀x (Movie(x) ∧ HasRomance(x) ∧ HasComedy(x) → RomanticComedy(x)),1,1,1,success,2026-03-26T23:20:08.821175+00:00
15,"¬∃x ¬∀y ¬∀z ¬(Chef(x) ∧ Waiter(y) ∧ Customer(z) → (PreparesMeals(x) ∧ ServesMeals(y, z) ∧ EnjoysMeals(z)))","∀x ∀y ∀z (Chef(x) ∧ Waiter(y) ∧ Customer(z) → (PreparesMeals(x) ∧ ServesMeals(y, z) ∧ EnjoysMeals(z)))",0,1,1,success,2026-03-26T23:20:08.821175+00:00
16,¬∃x (Vehicle(x) ∧ CanTravelOnLand(x) ∧ CanTravelOnWater(x) ∧ ¬AmphibiousVehicle(x)),∀x (Vehicle(x) ∧ CanTravelOnLand(x) ∧ CanTravelOnWater(x) → AmphibiousVehicle(x)),0,0,1,success,2026-03-26T23:20:08.821175+00:00
17,"∀x ∀y ∀z (Tool(x) ∧ LongHandle(y) ∧ FlatBlade(z) ∧ Has(x, y) ∧ Has(x, z) ∧ LiftsAndMovesLooseMaterial(x) ∧ Shovel(x))","∀x ∀y ∀z (Tool(x) ∧ LongHandle(y) ∧ FlatBlade(z) ∧ Has(x, y) ∧ Has(x, z) ∧ LiftsAndMovesLooseMaterial(x) → Shovel(x))",0,0,1,success,2026-03-26T23:20:08.821175+00:00
18,∀x1 (Camera(x1) → (CapturePhotos(x1) ∨ RecordVideos(x1))),∀x (Camera(x) → (CapturePhotos(x) ∨ RecordVideos(x))),1,1,1,success,2026-03-26T23:20:08.821175+00:00
19,"∀x∀y∀z (¬BalancedDiet(x) ∧ VarietyOfFruits(y) ∧ Vegetables(z) ∧ LeanProteins(x) ∧ IncludesElements(x, y, z) → ProvidesEssentialNutrients(x) ∧ PromotesOverallHealthAndWellness(x))","∀x∀y∀z (BalancedDiet(x) ∧ VarietyOfFruits(y) ∧ Vegetables(z) ∧ LeanProteins(x) ∧ IncludesElements(x, y, z) → ProvidesEssentialNutrients(x) ∧ PromotesOverallHealthAndWellness(x))",1,1,1,success,2026-03-26T23:20:08.821175+00:00
20,∀x (Vehicle(x) ∧ DesignedForTravelingOnSnow(x) ∧ (EquippedWithSkis(x) ∨ EquippedWithTracks(x)) ∧ PoweredByEngine(x) → Snowmobile(x)),∀x (Vehicle(x) ∧ DesignedForTravelingOnSnow(x) ∧ (EquippedWithSkis(x) ∨ EquippedWithTracks(x)) ∧ PoweredByEngine(x) → Snowmobile(x)),1,1,1,success,2026-03-26T23:20:08.821175+00:00
21,∃x (SportsEvent(x) → (IndoorEvent(x) ⊕ OutdoorEvent(x))),∀x (SportsEvent(x) → (IndoorEvent(x) ⊕ OutdoorEvent(x))),1,1,1,success,2026-03-26T23:20:08.821175+00:00
22,∀x (Product(x) ∧ (SustainableMaterials(x) ∨ LowCarbonFootprint(x) ∨ EncouragesConservation(x)) ∧ EcoFriendly(x)),∀x (Product(x) ∧ (SustainableMaterials(x) ∨ LowCarbonFootprint(x) ∨ EncouragesConservation(x)) → EcoFriendly(x)),1,1,1,success,2026-03-26T23:20:08.821175+00:00
23,"∀x (¬Tsunami(x) ∨ (∃y (UnderwaterEarthquake(y) ∨ VolcanicEruption(y) ∨ Landslide(y)) ∧ Triggers(x, y) ∧ CausesMassiveWaves(x) ∧ DevastatesCoastalAreas(x)))","∀x (Tsunami(x) → ∃y (UnderwaterEarthquake(y) ∨ VolcanicEruption(y) ∨ Landslide(y)) ∧ Triggers(x, y) ∧ CausesMassiveWaves(x) ∧ DevastatesCoastalAreas(x))",0,0,0,success,2026-03-26T23:20:08.822179+00:00
24,∀x (¬Device(x) ∨ ¬UsesElectricity(x) ∨ ¬EmitsLight(x) ∨ LightEmittingDevice(x)),∀x (Device(x) ∧ UsesElectricity(x) ∧ EmitsLight(x) → LightEmittingDevice(x)),0,0,1,success,2026-03-26T23:20:08.822179+00:00
25,∃x (WorksInNewsIndustryAndReportsOnEvents(x) → Journalist(x)),∀x (WorksInNewsIndustryAndReportsOnEvents(x) → Journalist(x)),0,0,1,success,2026-03-26T23:20:08.822179+00:00
26,∀x (Triangle(x) ∧ EqualSides(x) → EqualAngles(x)),∀x (Triangle(x) ∧ EqualSides(x) → EqualAngles(x)),1,1,1,success,2026-03-26T23:20:08.822179+00:00
27,∃x (Bicycle(x) ∧ Lightweight(x) ∧ Durable(x) ∨ OffRoadSuitable(x)),∃x (Bicycle(x) ∧ Lightweight(x) ∧ Durable(x) ∧ OffRoadSuitable(x)),1,1,1,success,2026-03-26T23:20:08.822179+00:00
28,∀x (Bird(x) → (HasWings(x) → Flies(x))),∀x (Bird(x) ∧ HasWings(x) → Flies(x)),1,1,1,success,2026-03-26T23:20:08.822179+00:00
29,∀x1 (Garment(x1) ∧ WornOnLowerPartOfBody(x1) ∧ SeparateOpeningsForEachLeg(x1) ∧ MadeOfFabric(x1) → (Pants(x1) ∨ Skirt(x1))),∀x (Garment(x) ∧ WornOnLowerPartOfBody(x) ∧ SeparateOpeningsForEachLeg(x) ∧ MadeOfFabric(x) → (Pants(x) ∨ Skirt(x))),1,1,1,success,2026-03-26T23:20:08.822179+00:00
30,"∀x1 (Polygon(x1) ∧ Sides(x1, 3) ∧ Angles(x1, 3) → Triangle(x1))","∀x (Polygon(x) ∧ Sides(x, 3) ∧ Angles(x, 3) → Triangle(x))",0,1,1,success,2026-03-26T23:20:08.822179+00:00
31,¬∃x ¬(Sport(x) ∧ PlayedBetweenTwoTeams(x) ∧ PlayedOnField(x) ∧ PlayedWithBall(x) ∧ ObjectiveToScorePointsByGettingBallIntoOpposingTeamsGoal(x) → GoalBasedSport(x)),∀x (Sport(x) ∧ PlayedBetweenTwoTeams(x) ∧ PlayedOnField(x) ∧ PlayedWithBall(x) ∧ ObjectiveToScorePointsByGettingBallIntoOpposingTeamsGoal(x) → GoalBasedSport(x)),0,0,1,success,2026-03-26T23:20:08.822179+00:00
32,"∀x ∀y ∀z (Orchestra(x) ∧ Concert(y) ∧ Instrument(z) → (Performs(x, y) ∧ ∃x1 (Musician(x1) ∧ Plays(x1, z))))","∀x ∀y ∀z (Orchestra(x) ∧ Concert(y) ∧ Instrument(z) → (Performs(x, y) ∧ ∃w (Musician(w) ∧ Plays(w, z))))",0,0,1,success,2026-03-26T23:20:08.823212+00:00
33,"∀x (Detective(x) → (∃y (Crime(y) ∧ Solves(x, y) ∧ GathersEvidence(x) ∨ AnalyzesClues(x))))","∀x (Detective(x) → (∃y (Crime(y) ∧ Solves(x, y) ∧ GathersEvidence(x) ∧ AnalyzesClues(x))))",1,1,1,success,2026-03-26T23:20:08.823212+00:00
34,∃x1 (Painting(x1) ∧ Abstract(x1) ∧ CreatedByFamousArtist(x1)),∃x (Painting(x) ∧ Abstract(x) ∧ CreatedByFamousArtist(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
35,∀x (Instrument(x) → ((StringInstrument(x) ∨ WindInstrument(x)) ∧ ¬StringInstrument(x) ∧ WindInstrument(x))),∀x (Instrument(x) → ((StringInstrument(x) ∨ WindInstrument(x)) ∧ ¬(StringInstrument(x) ∧ WindInstrument(x)))),1,1,1,success,2026-03-26T23:20:08.823212+00:00
36,∀x1 (Mammal(x1) → (GivesBirthToLiveYoung(x1) ∧ NursesOffspringWithMilk(x1))),∀x (Mammal(x) → (GivesBirthToLiveYoung(x) ∧ NursesOffspringWithMilk(x))),1,1,1,success,2026-03-26T23:20:08.823212+00:00
37,∀x (Vaccine(x) ∧ Effective(x) → ProvidesImmunity(x) ∧ ReducesRiskOfInfection(x) ∨ OftenContributesToHerdImmunityInPopulation(x)),∀x (Vaccine(x) ∧ Effective(x) → ProvidesImmunity(x) ∧ ReducesRiskOfInfection(x) ∧ OftenContributesToHerdImmunityInPopulation(x)),0,1,1,success,2026-03-26T23:20:08.823212+00:00
38,"∀x ∀y (Satellite(x) ∧ (OrbitsEarth(x) ∧ TransmitsAndReceivesData(x, y)) ∧ (¬EnablesWeatherForecasting(y) ∨ EnablesGlobalPositioning(y) ∨ EnablesCommunication(y)))","∀x ∀y (Satellite(x) ∧ (OrbitsEarth(x) ∧ TransmitsAndReceivesData(x, y)) ∧ (EnablesWeatherForecasting(y) ∨ EnablesGlobalPositioning(y) ∨ EnablesCommunication(y)))",0,0,0,success,2026-03-26T23:20:08.823212+00:00
39,∀x (BloomsInSpring(x) ↔ (Flower(x) ∧ RequiresSpecificSunlight(x) ∨ RequiresWarmth(x))),∀x (BloomsInSpring(x) ↔ (Flower(x) ∧ RequiresSpecificSunlight(x) ∧ RequiresWarmth(x))),0,0,1,success,2026-03-26T23:20:08.823212+00:00
40,∀x (Tree(x) → (LosesLeavesInAutumn(x) ∨ RetainsLeavesThroughoutYear(x))) ∧ ∀y (EvergreenTree(y) → RetainsLeavesThroughoutYear(y)),∀x (Tree(x) → (LosesLeavesInAutumn(x) ∨ RetainsLeavesThroughoutYear(x))) ∧ ∀y (EvergreenTree(y) → RetainsLeavesThroughoutYear(y)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
41,∀x (¬Smartphone(x) ∨ (UsedForCommunication(x) ∧ UsedForEntertainment(x) ∧ UsedForProductivity(x))),∀x (Smartphone(x) → (UsedForCommunication(x) ∧ UsedForEntertainment(x) ∧ UsedForProductivity(x))),1,1,1,success,2026-03-26T23:20:08.823212+00:00
42,∀x (Bird(x) ∧ Migrates(x) → TravelsLongDistances(x) ∧ OftenCrossesContinents(x) ∧ UsuallyFollowsSeasonalPatternToFindResources(x)),∀x (Bird(x) ∧ Migrates(x) → TravelsLongDistances(x) ∧ OftenCrossesContinents(x) ∧ UsuallyFollowsSeasonalPatternToFindResources(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
43,∀x (Electron(x) ∧ (Orbital(x) ∨ Suborbital(x))),∀x (Electron(x) ∧ (Orbital(x) ⊕ Suborbital(x))),1,1,1,success,2026-03-26T23:20:08.823212+00:00
44,∀x (Coat(x) ∧ Wool(x) ∧ Hood(x) ∧ Insulated(x) → AppropriateForColdWeather(x)),∀x (Coat(x) ∧ Wool(x) ∧ Hood(x) ∧ Insulated(x) → AppropriateForColdWeather(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
45,¬∃x (MusicType(x) ∧ OriginatedInAfricanAmericanCommunities(x) ∧ FeaturesImprovisation(x) ∧ UsesSyncopation(x) ∧ ¬Jazz(x)),∀x (MusicType(x) ∧ OriginatedInAfricanAmericanCommunities(x) ∧ FeaturesImprovisation(x) ∧ UsesSyncopation(x) → Jazz(x)),0,1,1,success,2026-03-26T23:20:08.823212+00:00
46,¬∃x ¬(Country(x) ∧ (BorderedByOcean(x) ∨ BorderedBySea(x)) → HasCoastline(x)),∀x (Country(x) ∧ (BorderedByOcean(x) ∨ BorderedBySea(x)) → HasCoastline(x)),0,0,1,success,2026-03-26T23:20:08.823212+00:00
47,"∀x∃y (Prism(x) ∧ WhiteLight(y) → DispersesIntoSpectrumOfColors(x, y))","∀x∀y (Prism(x) ∧ WhiteLight(y) → DispersesIntoSpectrumOfColors(x, y))",0,0,1,success,2026-03-26T23:20:08.823212+00:00
48,∀x (Book(x) ∧ HighSalesVolume(x) ∧ PositiveReviews(x) → Bestseller(x)),∀x (Book(x) ∧ HighSalesVolume(x) ∧ PositiveReviews(x) → Bestseller(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
49,∀x (Farmer(x) → GrowsCrops(x)) ∧ ∀y (Miner(y) → ExtractsMinerals(y)),∀x (Farmer(x) → GrowsCrops(x)) ∧ ∀y (Miner(y) → ExtractsMinerals(y)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
50,∀x (ParticipatesInCommunityEvents(x) → (StrongSenseOfBelonging(x) ∧ ConnectionWithCommunity(x))),∀x (ParticipatesInCommunityEvents(x) → (StrongSenseOfBelonging(x) ∧ ConnectionWithCommunity(x))),1,1,1,success,2026-03-26T23:20:08.823212+00:00
51,∀x (Winter(x) → Cold(x)) ∧ ∀x (Summer(x) → Hot(x)),∀x (Winter(x) → Cold(x)) ∧ ∀y (Summer(y) → Hot(y)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
52,"∃x∀y (Beverage(x) ∧ ContainsCaffeine(x) ∧ ServedHot(x) ∧ RoastedSeeds(y) ∧ MadeFrom(x, y) → Coffee(x))","∀x∀y (Beverage(x) ∧ ContainsCaffeine(x) ∧ ServedHot(x) ∧ RoastedSeeds(y) ∧ MadeFrom(x, y) → Coffee(x))",0,1,1,success,2026-03-26T23:20:08.823212+00:00
53,∀x (Planet(x) ∧ ¬AtmosphereContainsOxygen(x) → SupportsHumanLife(x)),∀x (Planet(x) ∧ AtmosphereContainsOxygen(x) → SupportsHumanLife(x)),0,0,0,success,2026-03-26T23:20:08.823212+00:00
54,∀x (Building(x) ∧ ProperInsulation(x) ∧ EnergyEfficientWindows(x) ∧ SolarPanels(x) → EnergyEfficient(x)),∀x (Building(x) ∧ ProperInsulation(x) ∧ EnergyEfficientWindows(x) ∧ SolarPanels(x) → EnergyEfficient(x)),0,0,1,success,2026-03-26T23:20:08.823212+00:00
55,"∀x (River(x) ↔ (∃y (Source(x, y) ∧ Mountains(y)) ∧ FlowsThroughVariousLandscapes(x) ∨ ReachesLargerBodyOfWater(x)))","∀x (River(x) ↔ (∃y (Source(x, y) ∧ Mountains(y)) ∧ FlowsThroughVariousLandscapes(x) ∧ ReachesLargerBodyOfWater(x)))",1,1,1,success,2026-03-26T23:20:08.823212+00:00
56,∀x (Dessert(x) ∧ Frozen(x) ↔ (RequiresRefrigeration(x) ∧ ServedCold(x) ∧ ¬BakedGood(x))),∀x (Dessert(x) ∧ Frozen(x) ↔ (RequiresRefrigeration(x) ∧ ServedCold(x) ∧ ¬BakedGood(x))),1,1,1,success,2026-03-26T23:20:08.823212+00:00
57,"∀x∃y (Clock(x) ∧ Scale(y) → (Measures(x, Time) ∧ Measures(y, Weight)))","∀x∀y (Clock(x) ∧ Scale(y) → (Measures(x, Time) ∧ Measures(y, Weight)))",1,1,1,success,2026-03-26T23:20:08.823212+00:00
58,∀x1 (Company(x1) ∧ ProducesElectronics(x1) ∧ GlobalPresence(x1) → InternationalElectronicsManufacturer(x1)),∀x (Company(x) ∧ ProducesElectronics(x) ∧ GlobalPresence(x) → InternationalElectronicsManufacturer(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
59,∀x (¬Building(x) ∨ ((HasElevator(x) ⊕ HasStairs(x)))),∀x (Building(x) → ((HasElevator(x) ⊕ HasStairs(x)))),0,1,1,success,2026-03-26T23:20:08.823212+00:00
60,∀x (Computer(x) → (∃x1 (InputDevice(x1) ∧ (Keyboard(x1) ∨ Mouse(x1))) ∧ ∃x2 (OutputDevice(x2) ∧ (Monitor(x2) ∨ Speakers(x2))))),∀x (Computer(x) → (∃y (InputDevice(y) ∧ (Keyboard(y) ∨ Mouse(y))) ∧ ∃z (OutputDevice(z) ∧ (Monitor(z) ∨ Speakers(z))))),0,0,1,success,2026-03-26T23:20:08.823212+00:00
61,∀x ∀y ∀z (¬Tree(x) ∧ Car(y) ∧ Factory(z) → (AbsorbsCO2(x) ∧ EmitsCO2(y) ∧ ReleasesCO2Byproduct(z))),∀x ∀y ∀z (Tree(x) ∧ Car(y) ∧ Factory(z) → (AbsorbsCO2(x) ∧ EmitsCO2(y) ∧ ReleasesCO2Byproduct(z))),0,0,1,success,2026-03-26T23:20:08.823212+00:00
62,∀x1 (DesignsAndCreatesVideoGames(x1) → GameDeveloper(x1)),∀x (DesignsAndCreatesVideoGames(x) → GameDeveloper(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
63,∀x (Apple(x) → (¬Red(x) ∨ Green(x))),∀x (Apple(x) → (Red(x) ⊕ Green(x))),1,1,1,success,2026-03-26T23:20:08.823212+00:00
64,∀x (Organism(x) ∧ CanProduceOwnFoodThroughPhotosynthesis(x) ∧ ProvidesEnergyForOtherOrganisms(x) ∧ ¬ConsumesOtherOrganisms(x) → PrimaryProducer(x)),∀x (Organism(x) ∧ CanProduceOwnFoodThroughPhotosynthesis(x) ∧ ProvidesEnergyForOtherOrganisms(x) ∧ ¬ConsumesOtherOrganisms(x) → PrimaryProducer(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
65,"∀x ∀y (Device(x) ∧ ThermalEnergy(y) ∧ UsesTemperatureDifference(x, y) → ThermoelectricGenerator(x))","∀x ∀y (Device(x) ∧ ThermalEnergy(y) ∧ UsesTemperatureDifference(x, y) → ThermoelectricGenerator(x))",1,1,1,success,2026-03-26T23:20:08.823212+00:00
66,∀x (Dessert(x) ∧ MadeFromMilk(x) ∧ Sugar(x) ∧ Flavorings(x) ∧ Frozen(x) → IceCream(x)),∀x (Dessert(x) ∧ MadeFromMilk(x) ∧ Sugar(x) ∧ Flavorings(x) ∧ Frozen(x) → IceCream(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
67,"∃x ∀y (Bird(x) ∧ SeasonChange(y) ∧ UnsuitableTemperatureForSurvival(x, y) → Migrates(x))","∀x ∀y (Bird(x) ∧ SeasonChange(y) ∧ UnsuitableTemperatureForSurvival(x, y) → Migrates(x))",0,1,1,success,2026-03-26T23:20:08.823212+00:00
68,∀x (FoodProduct(x) ∧ ProducedWithoutSynthetics(x) ∧ MeetsRegulatoryStandards(x) → LabeledOrganic(x)),∀x (FoodProduct(x) ∧ ProducedWithoutSynthetics(x) ∧ MeetsRegulatoryStandards(x) → LabeledOrganic(x)),0,0,0,success,2026-03-26T23:20:08.823212+00:00
69,∀x (ElectronicDevice(x) ∧ DisplaysTime(x) ∧ ReceivesRadioSignals(x) ∧ BatteryPowered(x) → RadioControlledClock(x)),∀x (ElectronicDevice(x) ∧ DisplaysTime(x) ∧ ReceivesRadioSignals(x) ∧ BatteryPowered(x) → RadioControlledClock(x)),0,0,1,success,2026-03-26T23:20:08.823212+00:00
70,∀x (CellPhone(x) ∧ BatteryDepleted(x) → NeedsRecharge(x)),∀x (CellPhone(x) ∧ BatteryDepleted(x) → NeedsRecharge(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
71,∀x (HealthyDiet(x) ∧ ContainsVarietyOfFruitsVegetablesWholeGrainsLeanProteins(x) → PromotesWellBeingAndReducesRiskOfChronicDiseases(x)),∀x (HealthyDiet(x) ∧ ContainsVarietyOfFruitsVegetablesWholeGrainsLeanProteins(x) → PromotesWellBeingAndReducesRiskOfChronicDiseases(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
72,∀x (RipeFruit(x) ↔ (Fruit(x) ∧ ReadyToBeEaten(x) ∧ FullFlavor(x))),∀x (RipeFruit(x) ↔ (Fruit(x) ∧ ReadyToBeEaten(x) ∧ FullFlavor(x))),1,1,1,success,2026-03-26T23:20:08.823212+00:00
73,∀x1 (Book(x1) ∧ SoldOverOneMillionCopies(x1) → Bestseller(x1)),∀x (Book(x) ∧ SoldOverOneMillionCopies(x) → Bestseller(x)),1,1,1,success,2026-03-26T23:20:08.823212+00:00
74,∀x (Place(x) ∧ VenueForLiveStagePerformances(x) ∧ OftenWithStageCurtainsAndAudienceSeating(x) ∧ HostsPlaysMusicalsOrOtherProductions(x) → Theater(x)),∀x (Place(x) ∧ VenueForLiveStagePerformances(x) ∧ OftenWithStageCurtainsAndAudienceSeating(x) ∧ HostsPlaysMusicalsOrOtherProductions(x) → Theater(x)),0,1,1,success,2026-03-26T23:20:08.828223+00:00
75,∀x (¬Beverage(x) ∨ ¬ContainsAlcohol(x) ∨ ¬TypicallyCarbonated(x) ∨ SoftDrink(x)),∀x (Beverage(x) ∧ ¬ContainsAlcohol(x) ∧ TypicallyCarbonated(x) → SoftDrink(x)),0,0,1,success,2026-03-26T23:20:08.828223+00:00
76,∀x (Smartphone(x) → (ConnectsToInternet(x) ∧ MakesCalls(x) ∧ SendsMessages(x))),∀x (Smartphone(x) → (ConnectsToInternet(x) ∧ MakesCalls(x) ∧ SendsMessages(x))),0,0,1,success,2026-03-26T23:20:08.828223+00:00
77,∀x (Mountain(x) → (FormsFromTectonicForces(x) ∧ HasElevation(x) ∨ CanBeClimbed(x))),∀x (Mountain(x) → (FormsFromTectonicForces(x) ∧ HasElevation(x) ∧ CanBeClimbed(x))),1,1,1,success,2026-03-26T23:20:08.828223+00:00
78,∀x (ArtisticExpression(x) ∧ InvolvesMovement(x) ∧ ¬Dance(x) → TheaterPerformance(x) ⊕ CircusAct(x)),∀x (ArtisticExpression(x) ∧ InvolvesMovement(x) ∧ ¬Dance(x) → TheaterPerformance(x) ⊕ CircusAct(x)),1,1,1,success,2026-03-26T23:20:08.828223+00:00
79,∀x (Bird(x) → ((CanFly(x) ∧ ¬CanSwim(x)) ∨ (CanSwim(x) ∧ ¬CanFly(x)))),∀x (Bird(x) → ((CanFly(x) ∧ ¬CanSwim(x)) ∨ (CanSwim(x) ∧ ¬CanFly(x)))),1,1,1,success,2026-03-26T23:20:08.828223+00:00
80,"∀x1 ∀x2 (Object(x1) ∧ Liquid(x2) ∧ FloatsOnSurface(x1, x2) → Buoyant(x1))","∀x ∀y (Object(x) ∧ Liquid(y) ∧ FloatsOnSurface(x, y) → Buoyant(x))",1,1,1,success,2026-03-26T23:20:08.828223+00:00
81,∀x ∀y (Bat(x) ∧ Turtle(y) → ((Mammal(x) ∧ CanFly(x)) ∧ (Reptile(y) ∧ ¬CanFly(y)))),∀x ∀y (Bat(x) ∧ Turtle(y) → ((Mammal(x) ∧ CanFly(x)) ∧ (Reptile(y) ∧ ¬CanFly(y)))),0,1,1,success,2026-03-26T23:20:08.828223+00:00
82,∃x (Bicycle(x) ∧ ThickTires(x) ∧ ¬DesignedForRoadUse(x) → MountainBike(x)),∀x (Bicycle(x) ∧ ThickTires(x) ∧ ¬DesignedForRoadUse(x) → MountainBike(x)),0,0,1,success,2026-03-26T23:20:08.828223+00:00
83,∀x1 ∀y1 ∀z1 (RedApple(x1) ∧ GreenApple(y1) ∧ YellowApple(z1) → ((IsSweet(x1) ∧ IsSour(y1)) ∧ (IsSweet(z1) ⊕ IsSour(z1)))),∀x ∀y ∀z (RedApple(x) ∧ GreenApple(y) ∧ YellowApple(z) → ((IsSweet(x) ∧ IsSour(y)) ∧ (IsSweet(z) ⊕ IsSour(z)))),0,0,0,success,2026-03-26T23:20:08.828223+00:00
84,∃x (Animal(x) ∧ Herbivore(x) ∧ EatsOnlyPlants(x)) ∧ ∃y (Animal(y) ∧ Carnivore(y) ∧ EatsOnlyAnimals(y)),∃x (Animal(x) ∧ Herbivore(x) ∧ EatsOnlyPlants(x)) ∧ ∃y (Animal(y) ∧ Carnivore(y) ∧ EatsOnlyAnimals(y)),1,1,1,success,2026-03-26T23:20:08.828223+00:00
85,"∀x ∀y (Refrigerator(x) ∧ Perishable(y) → Preserves(x, y)) ∧ ¬(Refrigerator(x) ∧ Electronics(y) ∧ Preserves(x, y))","∀x ∀y (Refrigerator(x) ∧ Perishable(y) → Preserves(x, y)) ∧ ¬(Refrigerator(x) ∧ Electronics(y) → Preserves(x, y))",1,1,1,success,2026-03-26T23:20:08.828223+00:00
