id,generated_fopl,ground_truth_fopl,structural_match,alpha_equivalent,normalized_match,status,timestamp
15,"((((Chef(x) ∧ Restaurant(x)) ∧ (Waiter(y) ∧ Restaurant(x))) ∧ (Customer(z) ∧ Restaurant(x))) ∧ ((Prepares(x,m) ∧ Serves(y,m)) ∧ Enjoys(z,m)))","∀x ∀y ∀z (Chef(x) ∧ Waiter(y) ∧ Customer(z) → (PreparesMeals(x) ∧ ServesMeals(y, z) ∧ EnjoysMeals(z)))",,,,error: Failed to parse one of the FOL expressions,2025-12-15T12:57:45.627409+00:00
1,∀x ((BeautifulScenery(y) ∧ EnjoyableActivities(y)) → Relaxing(x)),∀x (Vacation(x) ∧ Relaxing(x) → (BeautifulScenery(x) ∧ EnjoyableActivities(x))),0,0,0,success,2025-12-15T13:45:59.494700+00:00
2,(∀x (Gemstone(x) → (Diamond(x) ∨ (Ruby(x) ∨ Emerald(x)))) ∧ (Gemstone(x) ∧ ¬((Diamond(x) ∧ Ruby(x)) ∨ (Diamond(x) ∧ Emerald(x))))),∀x (Gemstone(x) → ((Diamond(x) ∧ ¬(Ruby(x) ∨ Emerald(x))) ∨ (Ruby(x) ∧ ¬(Diamond(x) ∨ Emerald(x))) ∨ (Emerald(x) ∧ ¬(Diamond(x) ∨ Ruby(x))))),0,0,0,success,2025-12-15T13:45:59.496685+00:00
3,,∀x (SpeakMultipleLanguages(x) → (Bilingual(x) ∨ Multilingual(x))),,,,missing_fopl,2025-12-15T13:45:59.496685+00:00
4,∀x (((CharitableMission(x) ∧ ¬DistributesProfits(x)) ∧ ReliesOnDonations(x)) → NonProfit(x)),∀x (Organization(x) ∧ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ ReliesOnDonations(x) → NonProfit(x)),0,0,0,success,2025-12-15T13:45:59.497692+00:00
5,∀x (Flower(x) → ((SingleCotyledon(x) ∧ ParallelVeinedLeaves(x)) ∧ FlowerPartsInMultiplesOfThree(x))),∀x (Flower(x) ∧ SingleCotyledon(x) ∧ ParallelVeinedLeaves(x) ∧ FlowerPartsInMultiplesOfThree(x) → Monocot(x)),0,0,0,success,2025-12-15T13:45:59.497692+00:00
6,(((Lightweight(x) ∧ Breathable(x)) ∧ AbsorbsMoisture(x)) → SuitableForAthleticWear(x)),∀x (Fabric(x) ∧ Lightweight(x) ∧ Breathable(x) ∧ AbsorbsMoisture(x) → SuitableForAthleticWear(x)),0,0,0,success,2025-12-15T13:45:59.498682+00:00
7,"∀x (Library(x) → (((Books(y) ∧ Periodicals(y)) ∧ OtherMedia(y)) ∧ (Houses(x,y) → Collection(y))))",∀x (Place(x) ∧ HousesCollectionOfMedia(x) ∧ (Books(x) ∨ Periodicals(x) ∨ OtherMedia(x)) ∧ ForPublicUseAndStudy(x) → Library(x)),0,0,0,success,2025-12-15T13:45:59.499692+00:00
8,∀x (((((PossessFeathers(x) ∧ HaveBeak(x)) ∧ LayEggs(x)) ∧ CanFly(x)) ∧ FacilitatedByLightweightBones(x)) ∧ FacilitatedBySpecializedMuscles(x)),∀x (Bird(x) → (PossessFeathers(x) ∧ HasBeak(x) ∧ LaysEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ AbilityToFly(x))),0,0,0,success,2025-12-15T13:45:59.500690+00:00
9,"∃x (((Child(x) ∧ Toy(y)) ∧ Playground(z)) ∧ (PlaysWith(x,y) ∧ In(x,z)))","∀x∀y∀z (Child(x) ∧ Toy(y) ∧ Playground(z) → PlaysWith(x, y, z))",,,,error: Failed to parse one of the FOL expressions,2025-12-15T13:45:59.501691+00:00
10,"∀x ((Person(x) → Physicist(x)) ∧ Studies(x,NatureAndPropertiesOfMatterAndEnergy))",∀x (Person(x) ∧ StudiesNatureAndPropertiesOfMatterAndEnergy(x) → Physicist(x)),,,,error: Failed to parse one of the FOL expressions,2025-12-15T13:45:59.503689+00:00
11,((WellInsulatedBuilding(x) → ConservesEnergy(x)) ∧ (WellInsulatedBuilding(x) → MaintainsStableTemperature(x))),∀x (WellInsulatedBuilding(x) → ConservesEnergyByMaintainingStableTemperature(x)),0,0,0,success,2025-12-15T13:45:59.504690+00:00
12,"∀e ((HasRecommendation(e,r) ∨ (WorkedAtLeastTwoYears(e) ∧ GoodPerformance(e))) → EligibleForPromotion(e))",∀x (Employee(x) ∧ EligibleForPromotion(x) ↔ ((WorkedAtCompanyForTwoYears(x) ∧ GoodPerformanceRecord(x)) ∨ RecommendationFromSupervisor(x))),0,0,0,success,2025-12-15T13:45:59.505693+00:00
13,∃x ¬(Flower(x) → ¬BloomsInSpring(x)),¬∀x (Flower(x) → BloomsInSpring(x)),,,,error: Failed to parse one of the FOL expressions,2025-12-15T13:45:59.506684+00:00
14,"∀m ((HasElement(m,r) ∧ HasElement(m,c)) → Movie(m))",∀x (Movie(x) ∧ HasRomance(x) ∧ HasComedy(x) → RomanticComedy(x)),0,0,0,success,2025-12-15T13:45:59.507680+00:00
15,"((((Chef(x) ∧ Restaurant(x)) ∧ (Waiter(y) ∧ Restaurant(x))) ∧ (Customer(z) ∧ Restaurant(x))) ∧ ((Prepares(x,m) ∧ Serves(y,m)) ∧ Enjoys(z,m)))","∀x ∀y ∀z (Chef(x) ∧ Waiter(y) ∧ Customer(z) → (PreparesMeals(x) ∧ ServesMeals(y, z) ∧ EnjoysMeals(z)))",,,,error: Failed to parse one of the FOL expressions,2025-12-15T13:45:59.508691+00:00
